Ref.No.,Method,Have pics,Lodge (if applicable),Year,Date,Time,Latitude,Longitude,PA Name,Individuals seen/detected,Adult M,Adult F,Adult Unk,Young M,Young F,Young Unk,Individuals Present,Group (if applicable)
D760,Guide sightings programme,Y,Mdonya Old River Camp,2018,17/01/2018,14:32:05,-7.599281376,34.87615484,Ruaha NP,2,1,1,0,0,0,0,"N1, N2",N1-2
D680,Guide sightings programme,Y,Mdonya Old River Camp ,2018,28/01/2018,11:24:21,-7.595458072,34.99571052,Ruaha NP,5,0,1,0,3,1,0,"G1, G2, G3, G4, G5",G1-5
D762,Guide sightings programme,Y,Mdonya Old River Camp,2018,28/01/2018,13:13:27,-7.592032399,34.99987535,Ruaha NP,5,3,2,0,0,0,0,"G1, G2, G3, G4, G5",G1-5
D681,Guide sightings programme,Y,Mdonya Old River Camp ,2018,29/01/2018,15:37:02,-7.57222058,35.00208359,Ruaha NP,5,0,1,0,3,1,0,"G1, G2, G3, G4, G5",G1-5
D763,Guide sightings programme,Y,Mdonya Old River Camp,2018,29/01/2018,14:50:29,-7.572349774,35.00220048,Ruaha NP,5,3,2,0,0,0,0,"G1, G2, G3, G4, G5",G1-5
D769,Guide sightings programme,Y,Mdonya Old River Camp,2018,22/02/2018,11:17:14,-7.593537428,34.92097235,Ruaha NP,5,3,2,0,0,0,0,"G1, G2, G3, G4, G5",G1-5
D686,Guide sightings programme,Y,Mdonya Old River Camp ,2018,25/02/2018,09:52:46,-7.600616396,34.93139211,Ruaha NP,5,0,1,0,3,1,0,"G1, G2, G3, G4, G5",G1-5
D704,Guide sightings programme,Y,Kigelia Camp,2018,09/03/2018,09:52:48,-7.580863185,34.9606794,Ruaha NP,5,3,2,0,0,0,0,"G1, G2, G3, G4, G5",G1-5
D776,Guide sightings programme,Y,Mdonya Old River Camp,2018,09/03/2018,10:40:40,-7.5807738,34.96020871,Ruaha NP,5,0,1,0,3,1,0,"G1, G2, G3, G4, G5",G1-5
D717,Guide sightings programme,Y,Mdonya Old River Camp,2018,05/06/2018,13:44:18,-7.600014362,34.90477106,Ruaha NP,5,0,1,0,3,1,0,"G1, G2, G3, G4, G5",G1-5
D725,Guide sightings programme,Y,Tandala Tented Lodge,2018,16/06/2018,13:52:08,-7.636980994,34.91147835,Ruaha NP,2,0,0,0,0,0,2,Not able to ID,Unk
D781,Guide sightings programme,Y,Mdonya Old River Camp,2018,04/07/2018,15:21:33,-7.578969358,34.99714396,Ruaha NP,4,0,0,0,3,1,0,"G1, G2, G3, G4",G1-5
D804,Guide sightings programme,Y,Mwagusi Safari Camp,2018,04/07/2018,17:29:24,-7.582764735,34.99782897,Ruaha NP,4,0,0,0,2,2,0,"G1, G2, G3, G4",G1-5
D734,Guide sightings programme,Y,Kigelia Camp,2018,05/07/2018,17:16:29,-7.62792541,34.99466555,Ruaha NP,4,0,0,0,3,1,0,"G1, G2, G3, G4",G1-5
D796,Guide sightings programme,Y,Kigelia Camp,2018,05/07/2018,17:29:10,-7.627932528,34.99466532,Ruaha NP,4,0,0,0,3,1,0,"G1, G2, G3, G4",G1-5
D740,Guide sightings programme,Y,Kigelia Camp,2018,05/07/2018,17:15:58,-7.627816176,34.99474901,Ruaha NP,4,3,1,0,0,0,0,"G1, G2, G3, G4",G1-5
D748,Guide sightings programme,Y,Kigelia Camp,2018,08/07/2018,08:46:26,-7.63222147,34.9011127,Ruaha NP,4,3,1,0,0,0,0,"G1, G2, G3, G4",G1-5
D752,Guide sightings programme,Y,Kigelia Camp,2018,08/07/2018,17:22:12,-7.664475092,34.95796138,Ruaha NP,4,3,1,0,0,0,0,"G1, G2, G3, G4",G1-5
D800,Guide sightings programme,Y,Mwagusi Safari Camp,2018,08/07/2018,09:54:17,-7.660365336,34.97052187,Ruaha NP,4,0,0,0,2,2,0,"G1, G2, G3, G4",G1-5
D716,Guide sightings programme,Y,Jongomero Camp,2018,15/07/2018,10:03:50,-7.936991068,34.55047953,Ruaha NP,2,2,0,0,0,0,0,"J3, J4",J3-4
